Country,City
Andorra,Andorra la Vella
Andorra,Canillo
Andorra,Encamp
Andorra,Escaldes-Engordany
Andorra,Escas
Andorra,La Farga de Moles
Andorra,La Massana
Andorra,Ordino
Andorra,Pas de la Casa
Andorra,Sant Julia de Loria
Andorra,Santa Coloma
United arab emirates,Abu al Bukhoosh
United arab emirates,Abu Dhabi
United arab emirates,Abu Musa
United arab emirates,Ahmed Bin Rashid Port
United arab emirates,Ajman
United arab emirates,Al Ain
United arab emirates,Al Barsha
United arab emirates,Al Dhafra
United arab emirates,Al Fujayrah
United arab emirates,Al Hamriyah
United arab emirates,Al Jazeera Port
United arab emirates,Al Jeer Port
United arab emirates,Al Mafraq
United arab emirates,Al Quoz
United arab emirates,Al Sufouh
United arab emirates,Ar Ruways
United arab emirates,Arzanah Island
United arab emirates,Das Island
United arab emirates,Deira
United arab emirates,Dibba
United arab emirates,Dubai
United arab emirates,Dubai World Central Apt
United arab emirates,Esnnad
United arab emirates,Fateh Terminal
United arab emirates,Free Port
United arab emirates,Habshan
United arab emirates,Hail
United arab emirates,Hamriya Free Zone Port
United arab emirates,Hassyan
United arab emirates,Hatta
United arab emirates,Hulaylah Terminal
United arab emirates,Indooroodilly
United arab emirates,Jebel Ali
United arab emirates,Jebel Ali Free Zone
United arab emirates,Jebel Dhanna
United arab emirates,Jumayrah
United arab emirates,Kalba
United arab emirates,Khalidia
United arab emirates,Khor al Fakkan
United arab emirates,Masfut
United arab emirates,Mina Khalid
United arab emirates,Mina Khalifa/Abu Dhabi
United arab emirates,Mina Rashid Port
United arab emirates,Mina Saqr
United arab emirates,Mina Zayed/Abu Dhabi
United arab emirates,Minhad
United arab emirates,Mirfa
United arab emirates,Mubarek Terminal
United arab emirates,Mubarras Island
United arab emirates,Musafa
United arab emirates,Mussafah
United arab emirates,Offshore Fujairah
United arab emirates,Port Rashid
United arab emirates,Rak Khor Port
United arab emirates,Rak Maritime City
United arab emirates,Ras al Khaimah
United arab emirates,Ras Al Khor
United arab emirates,Ras Zubbaya (Ras Dubayyah)
United arab emirates,Reem Island
United arab emirates,Ruwais Port
United arab emirates,Sadiyat Island
United arab emirates,Sharjah
United arab emirates,Sila
United arab emirates,Stevin Rock
United arab emirates,Swaihan
United arab emirates,The Palm Jumeirah
United arab emirates,Umm Al Nar
United arab emirates,Umm al Quwain
United arab emirates,Vopak Horizion Terminal
United arab emirates,Yas Island
United arab emirates,Zirku Island
Afghanistan,Ali Shirzayi
Afghanistan,Bagram
Afghanistan,Bamian
Afghanistan,Bazar-E-Panjwai
Afghanistan,Bost
Afghanistan,Camp Bastion
Afghanistan,Camp Dwyer
Afghanistan,Camp Leatherneck
Afghanistan,Camp Salerno
Afghanistan,Camp Wolverine
Afghanistan,Chaghcharan
Afghanistan,Darwaz
Afghanistan,Dehdadi
Afghanistan,Eslam Qal'eh
Afghanistan,Faizabad
Afghanistan,Farah
Afghanistan,FOB Frontenac
Afghanistan,FOB Ramrod
Afghanistan,FOB Shank
Afghanistan,Gardez
Afghanistan,Gardiz
Afghanistan,Ghazni
Afghanistan,Hairatan
Afghanistan,Herat
Afghanistan,Jalalabad
Afghanistan,Kabul
Afghanistan,Kamu
Afghanistan,Kandahar
Afghanistan,Khost
Afghanistan,Khowst
Afghanistan,Khowst
Afghanistan,Khwahan
Afghanistan,Kunduz
Afghanistan,Kuran-O-Munjan
Afghanistan,Lashkar Gah
Afghanistan,Maimana
Afghanistan,Maiwand
Afghanistan,Mashad
Afghanistan,Mazar-i-Sharif
Afghanistan,Mehtar Lam
Afghanistan,Meydan
Afghanistan,Nimroz
Afghanistan,Orgun-E Kalan
Afghanistan,Pasaband
Afghanistan,Pol-e Charkhi
Afghanistan,Qala Nau
Afghanistan,Qalat
Afghanistan,Qal'Eh-Ye Now
Afghanistan,Qasim
Afghanistan,Sardeh Band
Afghanistan,Sharona
Afghanistan,Sheghnan
Afghanistan,Sherhan-Bandar
Afghanistan,Shindand
Afghanistan,Spin Boldak
Afghanistan,Taluqan
Afghanistan,Tarin Kowt
Afghanistan,Tirinkot
Afghanistan,Torghundi
Afghanistan,Torkham
Afghanistan,Towraghondi
Afghanistan,Urgoon
Afghanistan,Uruzgan
Afghanistan,Zaranj
Afghanistan,Zhari Dasht
Antigua and barbuda,Antigua
Antigua and barbuda,Barbuda
Antigua and barbuda,Falmouth
Antigua and barbuda,Parham
Antigua and barbuda,Saint John's
Anguilla,Anguilla
Anguilla,Blowing Point
Anguilla,Crocus Hill
Anguilla,Meads Bay Beach
Anguilla,Road Bay
Anguilla,Sombrero
Anguilla,The Forest
Anguilla,The Road
Anguilla,The Valley
Anguilla,Wall Blake
Albania,Argyrokastro
Albania,Berat
Albania,Bulqize
Albania,Butrint
Albania,Durres
Albania,Elbasan
Albania,Fier
Albania,Fushe Arrez
Albania,Gjirokaster
Albania,Himare
Albania,Korce
Albania,Kukes
Albania,Lezhe
Albania,Lushnje
Albania,Mbreshtan
Albania,Milot
Albania,Romano Port
Albania,Sarande
Albania,Shengjin
Albania,Shkoder
Albania,Shkozet
Albania,Tenes
Albania,Tirana
Albania,Vlore
Albania,Vore
Armenia,Abovyan
Armenia,Akhuryan
Armenia,Aparan
Armenia,Aragatsotn
Armenia,Ararat
Armenia,Armavir
Armenia,Ashtarak
Armenia,Berd
Armenia,Byureghavan
Armenia,Dilijan
Armenia,Ecmiadzin
Armenia,Goris
Armenia,Gyumri
Armenia,Hrazdan
Armenia,Jermuk
Armenia,Kajaran
Armenia,Kapan
Armenia,Masis
Armenia,Mets Masrik
Armenia,Metsamor
Armenia,Rind
Armenia,Spitak
Armenia,Vanadzor
Armenia,Vedi
Armenia,Yerevan
Angola,Ambriz
Angola,Andulo
Angola,Armada Olombendo FPSO
Angola,Baba
Angola,Baia dos Tigres
Angola,Barra do Dande
Angola,Belas
Angola,Benguela
Angola,Cabinda
Angola,Cafunfo
Angola,Cangamba
Angola,Capanda
Angola,Capulo
Angola,Catumbela
Angola,Cazombo
Angola,Chitato
Angola,CLOV FPSO
Angola,Cuio
Angola,Cuito Cuanavale
Angola,Dalia
Angola,Dirico
Angola,Dombe Grande
Angola,Dundo
Angola,Essungo Terminal
Angola,Farta Bay
Angola,Futila Terminal
Angola,Gimboa
Angola,Girassol Terminal
Angola,Greater Plutonio
Angola,Huambo
Angola,Jamba
Angola,Kiame Terminal
Angola,Kuito
Angola,Kuito Terminal
Angola,Landana (Cacongo)
Angola,Lieura
Angola,Lobito
Angola,Lombo Terminal
Angola,Luanda
Angola,Luau
Angola,Lubango
Angola,Lucira
Angola,Luena
Angola,Lukapa
Angola,Lumbala
Angola,Luzamba
Angola,Malange
Angola,Malembo
Angola,Malongo
Angola,Maquela Do Zombo
Angola,Matala
Angola,M'banza Congo
Angola,Menongue
Angola,Mocamedes
Angola,Namibe
Angola,N'dalatando
Angola,Negage
Angola,Noqui
Angola,N'Riquinha
Angola,Nzagi
Angola,N'Zeto
Angola,N'Zeto (Ambrizete)
Angola,Ondjiva
Angola,Ongiva
Angola,Palanca Terminal
Angola,Pazflor FPSO
Angola,Porto Alexandre (Tombua)
Angola,Porto Amboim
Angola,Porto Saco (Portosalazar)
Angola,River Sao Nicolau
Angola,Santa Clara
Angola,Saurimo
Angola,Saxi Batuque FPSO
Angola,Sazaire Terminal
Angola,Soyo
Angola,Soyo-Quinfuquena Terminal
Angola,Sumbe
Angola,Takula Terminal
Angola,Uige
Angola,Viana
Angola,Waku Kungo
Angola,Xangongo
Antarctica,Aboa
Antarctica,Amundsen-Scott
Antarctica,Arctowski
Antarctica,Artigas
Antarctica,Arturo Prat
Antarctica,Belgrano II
Antarctica,Bellingshausen
Antarctica,Casey Station
Antarctica,Comandante Ferraz
Antarctica,Concordia
Antarctica,Davis Station
Antarctica,Dome Fuji
Antarctica,Druzhnaya 4
Antarctica,Dumont d'Urville Station
Antarctica,Escudero
Antarctica,Esperanza
Antarctica,Gabriel de Castilla
Antarctica,General Bernardo O'higgins
Antarctica,Great Wall
Antarctica,Halley
Antarctica,Jang Bogo Station
Antarctica,Juan Carlos Primero
Antarctica,Jubany
Antarctica,King Sejong
Antarctica,Kohnen
Antarctica,Law Base
Antarctica,Maitri
Antarctica,Marambio
Antarctica,Mario Zucchelli
Antarctica,Mawson Station
Antarctica,McMurdo
Antarctica,Mirny
Antarctica,Neumayer
Antarctica,Novolazarevskaya
Antarctica,Orcadas
Antarctica,Palmer
Antarctica,Port Foster
Antarctica,Progress
Antarctica,Rothera
Antarctica,San Martin
Antarctica,SANAE IV
Antarctica,Scott Base
Antarctica,Signy
Antarctica,Syowa
Antarctica,Teniente R Marsh
Antarctica,Tor
Antarctica,Troll
Antarctica,Vernadsky
Antarctica,Vostok
Antarctica,Wasa
Antarctica,Zhongshan
Argentina,Abasto
Argentina,Acaragua
Argentina,Acassuso
Argentina,Acevedo
Argentina,Acheral
Argentina,Adelia Maria
Argentina,Agrelo
Argentina,Aguilares
Argentina,Aimogasta
Argentina,Albardon
Argentina,Alberti
Argentina,Aldea Escolar
Argentina,Alderetes
Argentina,Allen
Argentina,Almafuerte
Argentina,Alsina
Argentina,Alto de Sierra
Argentina,Alto Rio Senguerr
Argentina,Alto Verde
Argentina,Alvarez
Argentina,Alvear
Argentina,Anatuya
Argentina,Ancon
Argentina,Andacollo
Argentina,Andalgala
Argentina,Anelo
Argentina,Angaco
Argentina,Apolinario Saravia
Argentina,Apostoles
Argentina,Aranguren
Argentina,Arias
Argentina,Aristobulo del Valle
Argentina,Armstrong
Argentina,Arrecifes
Argentina,Arroyito
Argentina,Arroyo Seco
Argentina,Asturias
Argentina,Atucha
Argentina,Avellaneda
Argentina,Avellaneda
Argentina,Azul
Argentina,Bahia Blanca
Argentina,Bahia San Blas
Argentina,Bajo Grande
Argentina,Bajo Hondo
Argentina,Balcarce
Argentina,Ballesteros
Argentina,Banda del Rio Sali
Argentina,Banfield
Argentina,Baradero
Argentina,Barrancas
Argentina,Barranqueras
Argentina,Barreal
Argentina,Barrio Batan
Argentina,Barrio Marquez de Sobremonte
Argentina,Beccar
Argentina,Belen de Escobar
Argentina,Bell Ville
Argentina,Bella Vista
Argentina,Bella Vista
